,T1,T2,T3,result
234,8.0,9.0,,10.6
235,8.0,8.0,9.0,11.0
236,9.0,10.0,,12.0
237,11.45,11.42,,10.72
238,16.27,16.43,17.01,16.48
239,12.72,11.55,11.35,12.14
240,12.65,11.4,11.2,10.05
241,11.2,10.56,11.02,10.58
242,11.19,10.73,11.03,11.79
243,11.46,10.23,11.08,10.59
244,11.11,10.23,,
245,9.0,8.0,9.0,10.25
246,10.4,11.44,11.5,10.05
247,10.0,9.0,10.0,10.05
248,11.0,10.0,10.0,10.0
249,10.25,11.03,10.85,11.01
250,9.0,8.0,9.0,10.0
251,12.22,10.4,9.9,10.72
252,12.27,11.64,,9.06
253,14.0,14.0,14.0,13.0
254,11.0,9.73,10.55,10.64
255,13.37,15.64,15.06,12.54
256,13.79,12.0,12.0,12.24
257,11.0,10.0,12.0,
258,12.47,11.3,11.0,10.06
259,13.31,12.59,12.05,11.9
260,11.57,10.6,10.95,10.72
261,11.21,9.95,10.11,9.97
262,12.0,11.94,12.0,10.94
263,13.92,14.09,14.1,14.15
264,16.49,16.5,15.0,15.27
265,11.0,11.0,11.0,10.0
266,10.0,10.86,11.08,12.68
267,10.58,10.72,,10.2
268,10.32,10.36,11.36,11.36
269,13.76,12.0,12.0,11.0
270,12.95,12.9,11.0,11.4
271,15.98,16.2,16.35,12.76
272,13.0,13.0,14.5,13.0
273,14.72,15.06,15.02,14.11
274,9.2,9.3,9.4,10.57
275,12.0,11.0,12.0,10.96
276,11.32,10.0,11.2,10.06
277,11.72,11.75,11.92,10.98
278,12.37,11.47,11.42,12.56
279,13.0,14.0,14.0,13.0
280,11.0,11.0,11.0,10.0
281,11.2,11.23,11.0,11.04
282,11.0,12.0,11.0,12.0
283,10.0,10.0,10.0,9.99
284,14.0,14.0,14.0,13.0
285,8.0,9.0,9.0,10.74
286,14.93,14.69,12.43,12.42
287,15.22,15.96,15.73,15.41
288,14.5,13.5,12.5,14.5
289,16.54,17.73,18.04,16.52
290,14.66,14.8,16.48,13.89
291,11.0,11.0,12.0,11.75
292,16.21,17.22,17.79,16.3
293,16.52,16.58,15.41,15.51
294,12.0,12.0,11.0,11.0
295,17.23,17.96,18.11,17.5
296,14.75,15.3,15.54,15.43
297,10.0,11.0,10.0,11.0
298,12.45,11.99,11.35,10.4
299,15.5,15.63,17.0,12.53
300,17.0,16.0,16.0,14.0
301,16.51,17.55,18.43,16.98
302,17.42,17.88,17.78,15.69
303,17.0,17.0,17.0,16.0
304,16.0,16.0,17.0,12.0
305,11.0,12.0,11.0,10.0
306,8.0,9.0,7.0,11.0
307,15.41,16.32,17.57,14.95
308,13.0,13.0,13.0,12.95
309,14.7,14.65,14.4,14.47
310,11.5,12.5,12.5,11.44
311,11.0,12.0,12.0,11.0
312,10.02,9.46,10.6,11.99
313,11.16,10.06,10.08,11.48
314,11.58,11.3,11.85,12.09
315,10.13,9.98,10.05,10.31
316,10.93,10.95,10.37,10.84
317,10.58,10.03,10.65,11.3
318,11.59,9.36,10.0,11.23
319,11.71,10.98,11.11,12.6
320,11.8,10.14,11.5,12.37
321,10.78,10.76,9.85,10.48
322,8.0,8.0,9.0,10.4
323,8.82,10.15,,11.94
324,12.06,9.4,10.05,10.47
325,9.0,10.01,10.23,11.65
326,10.24,10.09,10.89,11.66
327,12.2,11.09,11.05,11.69
328,12.55,12.3,12.54,12.33
329,14.3,14.5,15.06,13.61
330,16.15,15.76,15.38,14.59
331,13.53,13.82,13.92,13.8
332,13.88,12.73,12.6,14.9
333,12.63,11.78,11.43,12.94
334,10.81,10.31,11.01,11.22
335,11.84,9.58,12.17,12.01
336,12.37,12.97,12.13,12.87
337,9.97,10.0,11.0,11.99
338,7.7,9.18,,10.7
339,14.34,13.24,13.82,13.82
340,10.3,10.45,10.23,11.47
341,15.32,14.53,15.45,15.81
342,16.0,15.28,15.83,15.67
343,12.09,11.9,13.15,12.75
344,15.82,15.26,16.32,14.98
345,17.99,17.79,17.38,17.11
346,10.0,9.48,9.95,12.0
347,13.0,15.0,14.0,13.2
348,8.0,9.0,,10.6
349,8.0,8.0,9.0,11.0
350,9.0,10.0,,12.0
351,11.45,11.42,,10.72
352,16.27,16.43,17.01,16.48
353,12.72,11.55,11.35,12.14
354,12.65,11.4,11.2,10.05
355,11.2,10.56,11.02,10.58
356,11.19,10.73,11.03,11.79
357,11.46,10.23,11.08,10.59
358,11.11,10.23,,
359,9.0,8.0,9.0,10.25
360,10.4,11.44,11.5,10.05
361,10.0,9.0,10.0,10.05
362,11.0,10.0,10.0,10.0
363,10.25,11.03,10.85,11.01
364,9.0,8.0,9.0,10.0
365,12.22,10.4,9.9,10.72
366,12.27,11.64,,9.06
367,14.0,14.0,14.0,13.0
368,11.0,9.73,10.55,10.64
369,13.37,15.64,15.06,12.54
370,13.79,12.0,12.0,12.24
371,11.0,10.0,12.0,
372,12.47,11.3,11.0,10.06
373,13.31,12.59,12.05,11.9
374,11.57,10.6,10.95,10.72
375,11.21,9.95,10.11,9.97
376,12.0,11.94,12.0,10.94
377,13.92,14.09,14.1,14.15
378,16.49,16.5,15.0,15.27
379,11.0,11.0,11.0,10.0
380,10.0,10.86,11.08,12.68
381,10.58,10.72,,10.2
382,10.32,10.36,11.36,11.36
383,13.76,12.0,12.0,11.0
384,12.95,12.9,11.0,11.4
385,15.98,16.2,16.35,12.76
386,13.0,13.0,14.5,13.0
387,14.72,15.06,15.02,14.11
388,9.2,9.3,9.4,10.57
389,12.0,11.0,12.0,10.96
390,11.32,10.0,11.2,10.06
391,11.72,11.75,11.92,10.98
392,12.37,11.47,11.42,12.56
393,13.0,14.0,14.0,13.0
394,11.0,11.0,11.0,10.0
395,11.2,11.23,11.0,11.04
396,11.0,12.0,11.0,12.0
397,10.0,10.0,10.0,9.99
398,14.0,14.0,14.0,13.0
399,8.0,9.0,9.0,10.74
400,14.93,14.69,12.43,12.42
401,15.22,15.96,15.73,15.41
402,14.5,13.5,12.5,14.5
403,16.54,17.73,18.04,16.52
404,14.66,14.8,16.48,13.89
405,11.0,11.0,12.0,11.75
406,16.21,17.22,17.79,16.3
407,16.52,16.58,15.41,15.51
408,12.0,12.0,11.0,11.0
409,17.23,17.96,18.11,17.5
410,14.75,15.3,15.54,15.43
411,10.0,11.0,10.0,11.0
412,12.45,11.99,11.35,10.4
413,15.5,15.63,17.0,12.53
414,17.0,16.0,16.0,14.0
415,16.51,17.55,18.43,16.98
416,17.42,17.88,17.78,15.69
417,17.0,17.0,17.0,16.0
418,16.0,16.0,17.0,12.0
419,11.0,12.0,11.0,10.0
420,8.0,9.0,7.0,11.0
421,15.41,16.32,17.57,14.95
422,13.0,13.0,13.0,12.95
423,14.7,14.65,14.4,14.47
424,11.5,12.5,12.5,11.44
425,11.0,12.0,12.0,11.0
